	drawz	drawp	pi2	omegacor21	tau1	tau2	num_variants	p1_code	p2_code	p1	p2	p1_category	p2_category	p1_num_cases	p2_num_cases	num_loci	omegacor21_se	attenuation
FH1001_HC295	7.24265403963	2.19994126895e-13	0.159961026109	0.535246008046	0.00205760280156	0.00633833968345	321609	FH1001	HC295	lung_cancer	carpal_tunnel_syndrome	FH	HC	123832.0	8152.0	51445	0.0739019156676	3.08044860682
HC219_HC61	5.37060911234	3.92355681509e-08	0.0203643369285	0.534291167464	0.0494774504563	0.00516663015823	326462	HC219	HC61	hypothyroidism/myxoedema	haemorrhoids_/_piles	HC	HC	19920.0	19958.0	6648	0.099484277535	0.104423936775
INI30000_INI30150	45.1506571632	0.0	0.0991468663965	0.533997488207	0.0086970670717	0.00820150181788	345785	INI30000	INI30150	white_blood_cell_(leukocyte)_count	eosinophill_count	INI	INI	328029.0	327479.0	34283	0.0118270147493	0.943019267331
HC385_HC442	5.93881695303	1.43543092342e-09	0.0971927957868	0.53268897949	0.00725197028401	0.0086156039295	312863	HC385	HC442	peripheral_vascular_disease	chronic_obstructive_airways_disease/copd	HC	HC	3517.0	7287.0	30408	0.0896961438116	1.18803629801
HC179_HC376	7.84099430372	2.23496360286e-15	0.144827691683	0.529981997453	0.00318339912746	0.00459356202318	321060	HC179	HC376	iron_deficiency_anaemia	osteoarthritis	HC	HC	7811.0	29946.0	46498	0.0675911723596	1.44297395308
HC221_HC442	8.31282212884	4.67262705003e-17	0.106196818288	0.527662812419	0.0111415601581	0.00736066935325	320312	HC221	HC442	diabetes	chronic_obstructive_airways_disease/copd	HC	HC	20440.0	7287.0	34016	0.0634757732381	0.660649787714
HC422_HC430	9.61578911629	3.42907218405e-22	0.00293856096604	0.523819674505	0.33503687802	0.117355335139	300344	HC422	HC430	ankylosing_spondylitis	rheumatoid_arthritis	HC	HC	1184.0	5587.0	883	0.054474954491	0.350275873606
HC136_HC86	5.43831308143	2.68936990455e-08	0.0102547700872	0.52269285158	0.0528663620664	0.0143587568927	309281	HC136	HC86	connective_tissue_disorder	migraine	HC	HC	2515.0	12180.0	3172	0.0961130489829	0.271604784809
HC179_HC25	7.61416205268	1.32703818834e-14	0.0330069473135	0.522272838277	0.0102372527248	0.0109439969434	320915	HC179	HC25	iron_deficiency_anaemia	cataract	HC	HC	7811.0	19448.0	10592	0.0685922935004	1.06903651181
HC234_HC261	5.49941692771	1.90524587455e-08	0.00323407771283	0.52166960396	0.0208740508193	0.0528772471325	304062	HC234	HC261	allergy_or_anaphylactic_reaction_to_food	eczema/dermatitis	HC	HC	1621.0	11643.0	983	0.0948590752106	2.53315696078
HC64_HC85	6.54970352793	2.88257101416e-11	0.0282470888786	0.520287536697	0.00832093733854	0.0212407213507	318455	HC64	HC85	irritable_bowel_syndrome	enlarged_prostate	HC	HC	11556.0	5078.0	8995	0.0794368072505	2.55268372859
INI30050_INI30260	37.1881661181	5.30040191989e-303	0.0461720527581	0.519744080287	0.0168498930251	0.0122788948943	345683	INI30050	INI30260	mean_corpuscular_haemoglobin	mean_reticulocyte_volume	INI	INI	328028.0	322934.0	15961	0.0139760610576	0.728722424288
HC182_HC22	5.17020536637	1.16918438529e-07	0.0959962627344	0.519714308502	0.00422093150016	0.00795031604583	298357	HC182	HC22	osteopenia	osteoporosis	HC	HC	1063.0	9135.0	28641	0.100521018349	1.8835453846
FH1002_HC85	7.16140612847	3.9926843682e-13	0.0173158360623	0.517664239608	0.00660493108916	0.0269562865591	318853	FH1002	HC85	breast_cancer	enlarged_prostate	FH	HC	62401.0	5078.0	5521	0.0722852789412	4.08123660871
INI30060_INI30250	37.6995823693	0.0	0.0642922719038	0.517220039462	0.0056711434587	0.0104404319061	345634	INI30060	INI30250	mean_corpuscular_haemoglobin_concentration	reticulocyte_count	INI	INI	328025.0	322934.0	22222	0.0137195164232	1.84097474911
HC303_HC382	15.5682469537	5.98207433076e-55	0.00616168359422	0.515112070595	0.419569175976	0.0446898952092	306956	HC303	HC382	malabsorption/coeliac_disease	asthma	HC	HC	2094.0	43626.0	1891	0.0330873522322	0.106513771192
FH1286_HC310	10.4012268467	1.22380657025e-25	0.0856305611883	0.513496227778	0.00348643509913	0.00614807237903	332564	FH1286	HC310	severe_depression	hiatus_hernia	FH	HC	54576.0	41260.0	28478	0.0493688134435	1.763426596
FH1220_HC78	9.64024697451	2.70288793933e-22	0.117632679348	0.510410768979	0.00557747679841	0.00608127967901	326353	FH1220	HC78	diabetes	arthritis_(nos)	FH	HC	79177.0	15332.0	38390	0.052945818746	1.09032809975
FH1263_HC269	10.1970132821	1.02231793635e-24	0.00270084311878	0.510296877184	0.0436912904735	0.0614573480861	332403	FH1263	HC269	alzheimer's_disease/dementia	high_cholesterol	FH	HC	51794.0	43054.0	898	0.0500437591938	1.40662698263
HC119_HC176	3.19571454674	0.000697425180672	0.0995655435154	0.510177831985	0.00451415734979	0.00604367040723	310841	HC119	HC176	disc_degeneration	prolapsed_disc/slipped_disc	HC	HC	2984.0	5942.0	30949	0.159644368896	1.33882581818
FH1220_HC385	5.28536562949	6.27269654737e-08	0.10409580144	0.509537515305	0.00606556237913	0.00674202782414	313229	FH1220	HC385	diabetes	peripheral_vascular_disease	FH	HC	79177.0	3517.0	32606	0.0964053484706	1.11152559363
FH1286_HC322	3.73013270989	9.56894704734e-05	0.0934238564097	0.508006826558	0.00355615592718	0.0101333052844	304587	FH1286	HC322	severe_depression	crohns_disease	FH	HC	54576.0	1652.0	28456	0.136190014154	2.84951095843
HC133_HC25	6.64541778568	1.51179098253e-11	0.0638426087294	0.507692421909	0.00616266372527	0.00790315676479	310257	HC133	HC25	anal_fissure	cataract	HC	HC	2721.0	19448.0	19808	0.0763973670705	1.28242544411
HC155_HC422	7.53226697162	2.49334341822e-14	0.00167267386066	0.507662723389	0.0240161630249	0.426672830472	299202	HC155	HC422	joint_disorder	ankylosing_spondylitis	HC	HC	1861.0	1184.0	500	0.0673983974946	17.7660698768
INI30100_INI30110	40.8390193194	0.0	0.0607730251773	0.507386945454	0.0162769699468	0.0119092756158	345645	INI30100	INI30110	mean_platelet_(thrombocyte)_volume	platelet_distribution_width	INI	INI	328027.0	327880.0	21006	0.0124240727106	0.731664164442
HC28_HC96	5.25582988681	7.36792268519e-08	0.00218028257332	0.507119037727	0.0549420589579	0.136879937956	300655	HC28	HC96	bronchiectasis	polymyalgia_rheumatica	HC	HC	1939.0	1421.0	656	0.0964869580349	2.4913507166
HC219_HC295	8.60501755312	3.81525411473e-18	0.0204776770934	0.505768897015	0.0491974055902	0.0146639364546	321414	HC219	HC295	hypothyroidism/myxoedema	carpal_tunnel_syndrome	HC	HC	19920.0	8152.0	6582	0.0587760447777	0.298063206357
HC136_HC303	14.9685121002	5.89651050019e-51	0.00440690308035	0.50474596164	0.0640117269189	0.490995880424	304834	HC136	HC303	connective_tissue_disorder	malabsorption/coeliac_disease	HC	HC	2515.0	2094.0	1343	0.0337205166593	7.67040515945
HC221_HC96	8.78566769521	7.77192366021e-19	0.0597604894052	0.503229294246	0.0151595820929	0.0236310469235	302252	HC221	HC96	diabetes	polymyalgia_rheumatica	HC	HC	20440.0	1421.0	18063	0.057278434799	1.55881915337
HC55_HC96	7.73753576698	5.0681086304e-15	0.00265237514668	0.502919248067	0.197377105238	0.112125482762	301975	HC55	HC96	hyperthyroidism/thyrotoxicosis	polymyalgia_rheumatica	HC	HC	3647.0	1421.0	801	0.0649973406538	0.568077450659
HC422_INI3526	3.4536964614	0.000276479687438	0.00213401869109	0.501309976237	0.387961981815	0.00382865243397	296511	HC422	INI3526	ankylosing_spondylitis	mother's_age_at_death	HC	INI	1184.0	205977.0	633	0.145151718409	0.00986862788991
HC346_HC85	4.51915088943	3.10440675615e-06	0.0127031983265	0.500381149512	0.00175412290428	0.0318609916216	300123	HC346	HC85	fibromyalgia	enlarged_prostate	HC	HC	1166.0	5078.0	3813	0.110724594455	18.1634887406
HC136_HC78	7.88157913322	1.61634640756e-15	0.0179746103212	0.499311365078	0.0405006541206	0.015076597334	309297	HC136	HC78	connective_tissue_disorder	arthritis_(nos)	HC	HC	2515.0	15332.0	5559	0.0633516909034	0.372255650221
HC310_HC43	3.70840994224	0.000104282405492	0.0981169838043	0.497881520426	0.00540377490063	0.00283154246801	325654	HC310	HC43	hiatus_hernia	unclassifiable	HC	HC	41260.0	14357.0	31952	0.134257411716	0.523993415729
HC156_HC385	5.73734979188	4.8084752782e-09	0.0151461713675	0.495806477345	0.0282407353663	0.0236780629641	311678	HC156	HC385	nasal_polyps	peripheral_vascular_disease	HC	HC	4608.0	3517.0	4721	0.0864173347155	0.83843648747
HC357_HC85	5.60323880581	1.05191525384e-08	0.0112995351332	0.494612451589	0.0194918536	0.0318262288871	312627	HC357	HC85	duodenal_ulcer	enlarged_prostate	HC	HC	3621.0	5078.0	3533	0.0882725988898	1.63279642564
HC295_HC55	9.61026634479	3.61807812062e-22	0.00295417340022	0.493483695393	0.0269747645758	0.191162765647	313208	HC295	HC55	carpal_tunnel_syndrome	hyperthyroidism/thyrotoxicosis	HC	HC	8152.0	3647.0	925	0.0513496377403	7.08672600681
FH1220_HC106	4.07642597486	2.28666027871e-05	0.110590606802	0.491918620974	0.0058485802249	0.00414912747239	317909	FH1220	HC106	diabetes	emphysema/chronic_bronchitis	FH	HC	79177.0	5601.0	35158	0.120673998254	0.709424734353
FH1286_HC60	4.42262206871	4.87551119827e-06	0.136824837528	0.489702227509	0.00271011045096	0.00427347430028	322674	FH1286	HC60	severe_depression	oesophagitis/barretts_oesophagus	FH	HC	54576.0	9528.0	44150	0.110726672978	1.57686351815
INI30150_INI30160	26.0002573238	2.45952835362e-149	0.111517212792	0.486989573655	0.00768397430544	0.00318675619456	347097	INI30150	INI30160	eosinophill_count	basophill_count	INI	INI	327479.0	327479.0	38707	0.0187301828436	0.414727596409
HC418_HC85	5.10388406838	1.66376083698e-07	0.0133986760618	0.485032155416	0.0117155928391	0.0299333016788	314123	HC418	HC85	cervical_spondylosis	enlarged_prostate	HC	HC	4317.0	5078.0	4209	0.0950319695586	2.55499675432
HC219_HC25	9.17598159253	2.23739388719e-20	0.0198602394892	0.484714395876	0.0499051096842	0.011245130773	326387	HC219	HC25	hypothyroidism/myxoedema	cataract	HC	HC	19920.0	19448.0	6482	0.0528242554748	0.225330248629
HC96_INI30500	3.98132800334	3.42656511323e-05	0.00101890609668	0.484341072573	0.157734703437	0.0147605340294	298581	HC96	INI30500	polymyalgia_rheumatica	microalbumin_in_urine	HC	INI	1421.0	104119.0	304	0.121653144922	0.093578227922
HC357_HC41	4.35600670848	6.62283591714e-06	0.168784272847	0.483522655871	0.00369905460607	0.00333759253243	313439	HC357	HC41	duodenal_ulcer	depression	HC	HC	3621.0	20461.0	52904	0.11100135703	0.902282579704
HC151_HC185	4.39542444364	5.52782574962e-06	0.003319583756	0.4822895951	0.194476268341	0.0224719740804	302579	HC151	HC185	multiple_sclerosis	cellulitis	HC	HC	1467.0	6168.0	1004	0.10972537494	0.115551240633
HC295_HC442	5.88484304971	1.99215953408e-09	0.142936983492	0.479883426431	0.00599303789134	0.00655475330002	318750	HC295	HC442	carpal_tunnel_syndrome	chronic_obstructive_airways_disease/copd	HC	HC	8152.0	7287.0	45561	0.0815456627097	1.09372799219
HC430_HC61	4.23451111475	1.14524728373e-05	0.00477482965341	0.477580404342	0.0914937382593	0.0113195813181	317951	HC430	HC61	rheumatoid_arthritis	haemorrhoids_/_piles	HC	HC	5587.0	19958.0	1518	0.112782890728	0.123719737912
HC276_HC422	7.95769254128	8.76386200157e-16	0.00212686756659	0.476886628577	0.0253113460298	0.396427685354	300353	HC276	HC422	glaucoma	ankylosing_spondylitis	HC	HC	5863.0	1184.0	639	0.0599277524361	15.6620546725
HC201_HC362	3.3398720689	0.00041908495563	0.0134044067315	0.476505242993	0.0394861054906	0.00934984400208	311815	HC201	HC362	ulcerative_colitis	respiratory_infection	HC	HC	3147.0	8173.0	4180	0.142671705132	0.236788204
HC184_HC261	4.98578601738	3.08552068807e-07	0.00348287005173	0.473565620372	0.0086507953411	0.0515464041509	299555	HC184	HC261	aortic_aneurysm_rupture	eczema/dermatitis	HC	HC	1085.0	11643.0	1043	0.0949831418198	5.95857399446
FH1220_HC25	8.39141975338	2.40153064481e-17	0.105436608027	0.473329522323	0.00598412881297	0.00529908208235	327992	FH1220	HC25	diabetes	cataract	FH	HC	79177.0	19448.0	34582	0.0564063693908	0.885522729869
HC144_HC55	8.92432774674	2.24207128179e-19	0.00272461251297	0.473165152497	0.0228386739825	0.198361971778	307808	HC144	HC55	chickenpox	hyperthyroidism/thyrotoxicosis	HC	HC	2458.0	3647.0	839	0.0530196969368	8.68535414665
HC206_HC243	6.88178830656	2.95529025194e-12	0.0244942111203	0.473126190685	0.00757848544121	0.019227733729	299112	HC206	HC243	parkinsons_disease	inguinal_hernia	HC	HC	1082.0	14042.0	7327	0.0687504714776	2.5371472807
HC253_HC85	4.53786063101	2.84138976164e-06	0.0115702278392	0.47135874542	0.00201891958738	0.0326462236901	300393	HC253	HC85	meniere's_disease	enlarged_prostate	HC	HC	1199.0	5078.0	3476	0.103872459678	16.1701456037
HC125_HC221	14.9180880655	1.25686674985e-50	0.0516165484211	0.470999663092	0.00842498607325	0.0168955101097	325662	HC125	HC221	anaemia	diabetes	HC	HC	15944.0	20440.0	16810	0.0315723878974	2.00540510842
FH1001_HC442	5.29195477578	6.05079108964e-08	0.206209952203	0.470910392667	0.00169217565434	0.00493314537782	320426	FH1001	HC442	lung_cancer	chronic_obstructive_airways_disease/copd	FH	HC	123832.0	7287.0	66075	0.0889860954258	2.91526790684
HC261_HC6	3.31198223668	0.000463187138883	0.00276026826038	0.469876448109	0.0541881498276	0.035556197129	310034	HC261	HC6	eczema/dermatitis	eye/eyelid_problem	HC	HC	11643.0	2698.0	856	0.141871669149	0.656161859043
HC136_HC219	18.2999176898	4.14369971605e-75	0.0164418753139	0.469171983648	0.0376036019729	0.0561437951957	309302	HC136	HC219	connective_tissue_disorder	hypothyroidism/myxoedema	HC	HC	2515.0	19920.0	5086	0.025637928629	1.49304301317
HC215_HC269	21.2123219411	3.67472122068e-100	0.165330670715	0.468619401382	0.00718290600593	0.00743460899376	333156	HC215	HC269	hypertension	high_cholesterol	HC	HC	107407.0	43054.0	55081	0.0220918484399	1.0350419437
HC144_HC179	3.8007485942	7.21298047244e-05	0.023942198332	0.467304876451	0.0124296842778	0.0135337900162	309032	HC144	HC179	chickenpox	iron_deficiency_anaemia	HC	HC	2458.0	7811.0	7399	0.122950746378	1.08882814026
INI30210_INI30500	5.57872067314	1.21146977893e-08	0.0984498398074	0.466567739689	0.00781910564086	0.0010414449668	336739	INI30210	INI30500	eosinophill_percentage	microalbumin_in_urine	INI	INI	327482.0	104119.0	33152	0.0836334649153	0.133192338694
HC179_HC22	6.04376251427	7.52805412155e-10	0.0369315818629	0.466463716676	0.00940576068846	0.013091588234	319636	HC179	HC22	iron_deficiency_anaemia	osteoporosis	HC	HC	7811.0	9135.0	11805	0.0771810135779	1.39186916057
HC156_HC442	6.55266632088	2.82593566969e-11	0.0502544546211	0.465077421403	0.0150037581498	0.0120396330284	315160	HC156	HC442	nasal_polyps	chronic_obstructive_airways_disease/copd	HC	HC	4608.0	7287.0	15838	0.0709752944265	0.802441155622
HC156_HC25	7.65200318778	9.89361659627e-15	0.0304204110994	0.465019215837	0.0200239290577	0.0110931427292	316048	HC156	HC25	nasal_polyps	cataract	HC	HC	4608.0	19448.0	9614	0.0607709124559	0.553994308371
HC136_HC261	7.93621789788	1.04219844148e-15	0.00509627662242	0.46498208642	0.0739931662692	0.0411391213812	309284	HC136	HC261	connective_tissue_disorder	eczema/dermatitis	HC	HC	2515.0	11643.0	1576	0.0585898840484	0.555985416701
HC219_HC22	7.55991651807	2.01664067968e-14	0.020688227038	0.464339507894	0.0488524432091	0.0127893513489	322216	HC219	HC22	hypothyroidism/myxoedema	osteoporosis	HC	HC	19920.0	9135.0	6666	0.0614212480764	0.261795531785
INI30120_INI30520	14.1030420369	1.8187268191e-45	0.0922957790421	0.462773366606	0.00922952112107	0.00180516289132	345494	INI30120	INI30520	lymphocyte_count	potassium_in_urine	INI	INI	327479.0	327299.0	31888	0.0328137266694	0.195585758745
INI30140_INI30520	14.312583704	9.13005880148e-47	0.10513622152	0.461364579897	0.00714057799827	0.00176224934532	345494	INI30140	INI30520	neutrophill_count	potassium_in_urine	INI	INI	327479.0	327299.0	36324	0.0322348912983	0.246793655324
HC221_HC302	4.68477743575	1.40132153527e-06	0.0982944294118	0.459479429667	0.0116814401921	0.00686269308655	311811	HC221	HC302	diabetes	retinal_detachment	HC	HC	20440.0	3247.0	30649	0.0980792440983	0.587486900048
HC204_HC261	5.48729026774	2.04073080738e-08	0.00344374368743	0.458467423551	0.00372419092345	0.0514146847339	306249	HC204	HC261	bursitis	eczema/dermatitis	HC	HC	1929.0	11643.0	1055	0.0835507875802	13.8055985288
HC136_HC285	4.52633566704	3.00076139777e-06	0.01330933277	0.457973223284	0.0467401743779	0.00756591810379	309303	HC136	HC285	connective_tissue_disorder	other_joint_disorder	HC	HC	2515.0	31606.0	4117	0.101179686389	0.161871841611
HC243_HC401	10.7659145925	2.4931980667e-27	0.0539925799511	0.457910490744	0.0116421719937	0.0149841867804	322288	HC243	HC401	inguinal_hernia	varicose_veins	HC	HC	14042.0	10153.0	17401	0.0425333571811	1.28706110754
HC382_HC96	9.33315945123	5.138053666e-21	0.0257821402159	0.457556084428	0.023633513117	0.0387363676765	302252	HC382	HC96	asthma	polymyalgia_rheumatica	HC	HC	43626.0	1421.0	7793	0.0490247795314	1.63904399167
HC221_HC273	18.8148522604	2.853365742e-79	0.212449904356	0.455364228198	0.007028380452	0.00556513231443	328372	HC221	HC273	diabetes	essential_hypertension	HC	HC	20440.0	64234.0	69763	0.0242023812835	0.791808632507
HC125_HC219	17.7589916511	7.34245215876e-71	0.0170463796401	0.450765005429	0.0140016617939	0.0550510787764	325581	HC125	HC219	anaemia	hypothyroidism/myxoedema	HC	HC	15944.0	19920.0	5550	0.0253823535866	3.93175321521
INI30220_INI30500	3.15931042622	0.000790714734144	0.0234203301061	0.450328227779	0.00667711665763	0.000543545507411	336739	INI30220	INI30500	basophill_percentage	microalbumin_in_urine	INI	INI	327482.0	104119.0	7887	0.142540037865	0.0814042250991
INI30020_INI30520	13.7558800324	2.34766142e-43	0.0885239443408	0.450107452175	0.0063975939298	0.00182551415008	345715	INI30020	INI30520	haemoglobin_concentration	potassium_in_urine	INI	INI	328031.0	327299.0	30604	0.0327210946239	0.285343860538
HC38_HC440	6.94407329967	1.90476338018e-12	0.00379479623314	0.448530955663	0.306927607919	0.0340479882581	316792	HC38	HC440	psoriasis	atrial_flutter	HC	HC	5074.0	12186.0	1202	0.0645919097202	0.110931657432
INI30060_INI30290	33.7040576161	2.52061549016e-249	0.0711124790755	0.446090614104	0.00537440571228	0.00991773658293	345575	INI30060	INI30290	mean_corpuscular_haemoglobin_concentration	high_light_scatter_reticulocyte_percentage	INI	INI	328025.0	322755.0	24575	0.0132355166012	1.8453643275
INI30020_INI30300	37.3020959779	7.58798252171e-305	0.101145949081	0.445037580302	0.00582512965543	0.00788446145175	345640	INI30020	INI30300	haemoglobin_concentration	high_light_scatter_reticulocyte_count	INI	INI	328031.0	322755.0	34960	0.0119306320097	1.35352548667
HC283_HC310	7.61689725943	1.29922997021e-14	0.0801156663836	0.444816427478	0.000669144201905	0.00654824509471	310217	HC283	HC310	cystitis	hiatus_hernia	HC	HC	2713.0	41260.0	24853	0.0583986382286	9.78599990266
HC221_HC430	12.7268639659	2.09673278531e-37	0.0160519010653	0.443203184962	0.0267659163641	0.0502652337211	317959	HC221	HC430	diabetes	rheumatoid_arthritis	HC	HC	20440.0	5587.0	5104	0.0348242258383	1.87795676551
HC32_HC430	7.73573176797	5.14050098458e-15	0.00395401308595	0.443191869207	0.00965946955951	0.102751885165	302848	HC32	HC430	other_renal/kidney_problem	rheumatoid_arthritis	HC	HC	1502.0	5587.0	1197	0.0572915249003	10.6374252263
HC8_HC85	4.86753079711	5.65006132431e-07	0.012065913191	0.441218133767	0.00551583530071	0.0318333052679	304222	HC8	HC85	gall_bladder_disease	enlarged_prostate	HC	HC	1639.0	5078.0	3671	0.0906451653123	5.77125739483
HC156_HC261	7.27359343485	1.75024238276e-13	0.00485539788758	0.439112688772	0.0467967046434	0.042731464788	315897	HC156	HC261	nasal_polyps	eczema/dermatitis	HC	HC	4608.0	11643.0	1534	0.0603708047067	0.913129783682
HC322_HC85	5.65783297424	7.66481048387e-09	0.0105845010391	0.43888594344	0.0354986155225	0.0326996382908	304495	HC322	HC85	crohns_disease	enlarged_prostate	HC	HC	1652.0	5078.0	3223	0.0775713856238	0.921152495935
HC133_HC22	4.91806174662	4.37026722299e-07	0.0745416666715	0.438312694499	0.00553289358762	0.00916513453446	310176	HC133	HC22	anal_fissure	osteoporosis	HC	HC	2721.0	9135.0	23121	0.0891230564154	1.65648125873
HC269_HC273	19.0260539112	5.18898083127e-81	0.127325149432	0.437324307884	0.00876713522023	0.00742250280939	332871	HC269	HC273	high_cholesterol	essential_hypertension	HC	HC	43054.0	64234.0	42383	0.022985549706	0.846628074387
HC125_HC382	16.4087624971	8.27726930909e-61	0.0248783050548	0.436877363387	0.012239383547	0.024608801165	326587	HC125	HC382	anaemia	asthma	HC	HC	15944.0	43626.0	8125	0.0266246381142	2.01062423369
HC382_HC78	9.04941757454	7.18664606675e-20	0.0404694762737	0.434840749336	0.0188733685356	0.00969125500296	326278	HC382	HC78	asthma	arthritis_(nos)	HC	HC	43626.0	15332.0	13204	0.0480517940248	0.513488357136
FH1263_HC132	3.79893109045	7.26607433629e-05	0.000626248911232	0.434643229546	0.0942891802773	0.0566847688629	327662	FH1263	HC132	alzheimer's_disease/dementia	angina	FH	HC	51794.0	18473.0	205	0.114411980422	0.601179994313
HC415_HC86	3.68396101072	0.000114818690868	0.143710128233	0.433875997233	0.00423636584536	0.00462243518729	300860	HC415	HC86	aortic_aneurysm	migraine	HC	HC	1210.0	12180.0	43237	0.11777431845	1.09113220058
INI30130_INI30150	35.8723334864	4.12539125778e-282	0.0834033662462	0.433624149801	0.00908205822721	0.00894188443758	347097	INI30130	INI30150	monocyte_count	eosinophill_count	INI	INI	327479.0	327479.0	28949	0.0120879827894	0.984565856535
HC221_HC79	3.17497325473	0.000749251561404	0.0929134367594	0.432814237175	0.0121058793697	0.00367487631594	317878	HC221	HC79	diabetes	appendicitis	HC	HC	20440.0	5533.0	29535	0.136320593104	0.303561286521
HC193_HC281	5.91384044331	1.67110831367e-09	0.00980044687996	0.432759321703	0.00847243439085	0.03009468765	305982	HC193	HC281	heart_arrhythmia	atrial_fibrillation	HC	HC	1884.0	12665.0	2999	0.0731773753201	3.55207089978
HC125_HC86	4.60614444026	2.05101756483e-06	0.0123341531485	0.430969179546	0.0193391599409	0.0124121976999	323641	HC125	HC86	anaemia	migraine	HC	HC	15944.0	12180.0	3992	0.0935639741949	0.641816797515
FH1220_HC273	17.2241023502	8.75617618251e-67	0.23770814958	0.429751005725	0.00342338462577	0.00523167227207	335143	FH1220	HC273	diabetes	essential_hypertension	FH	HC	79177.0	64234.0	79666	0.0249505603826	1.52821632506
HC219_HC86	5.20994477282	9.44484256039e-08	0.0207197241813	0.42926698598	0.0490918091797	0.00743157732279	324096	HC219	HC86	hypothyroidism/myxoedema	migraine	HC	HC	19920.0	12180.0	6715	0.0823937689742	0.151381206905
HC295_HC78	6.39604453359	7.97267580254e-11	0.148017904113	0.42874399224	0.00581093017146	0.0052823898183	321195	HC295	HC78	carpal_tunnel_syndrome	arthritis_(nos)	HC	HC	8152.0	15332.0	47543	0.0670326777727	0.909043761056
INI30120_INI30150	36.2123511989	1.94572000682e-287	0.0922575165316	0.427889821639	0.00908296367569	0.00847312808412	347097	INI30120	INI30150	lymphocyte_count	eosinophill_count	INI	INI	327479.0	327479.0	32022	0.0118161292342	0.932859404337
HC176_HC385	3.57406875552	0.000175738285511	0.068647409682	0.427737588359	0.00687183185503	0.0097751574547	312441	HC176	HC385	prolapsed_disc/slipped_disc	peripheral_vascular_disease	HC	HC	5942.0	3517.0	21448	0.119678052555	1.42249660075
INI30020_INI30240	34.9745531268	2.74216179433e-268	0.0901629768136	0.427376046414	0.00618594777628	0.00845768220485	345616	INI30020	INI30240	haemoglobin_concentration	reticulocyte_percentage	INI	INI	328031.0	322933.0	31162	0.0122196285072	1.3672411263
HC219_HC430	12.1597605037	2.54538582216e-34	0.0118628371199	0.426535790144	0.0643226794414	0.0577249484734	317963	HC219	HC430	hypothyroidism/myxoedema	rheumatoid_arthritis	HC	HC	19920.0	5587.0	3772	0.0350776472952	0.897427609899
HC430_INI30500	4.93371271909	4.0340541562e-07	0.00418034773155	0.42463150584	0.0973530177186	0.00724810102567	313092	HC430	INI30500	rheumatoid_arthritis	microalbumin_in_urine	HC	INI	5587.0	104119.0	1309	0.0860673350918	0.0744517344765
HC310_HC401	9.8635760418	2.99389959172e-23	0.0926813056681	0.424510192654	0.00537536346054	0.0111554170531	323213	HC310	HC401	hiatus_hernia	varicose_veins	HC	HC	41260.0	10153.0	29956	0.0430381629193	2.07528609647
HC179_HC221	12.8370909267	5.08108937558e-38	0.0793730345476	0.423636261868	0.00520510104277	0.0136758557409	320962	HC179	HC221	iron_deficiency_anaemia	diabetes	HC	HC	7811.0	20440.0	25476	0.0330009551453	2.62739486295
INI30140_INI30200	29.7402911	1.15775408807e-194	0.0681499532181	0.423000213711	0.0087684355104	0.00689832679216	345575	INI30140	INI30200	neutrophill_count	neutrophill_percentage	INI	INI	327479.0	327482.0	23551	0.0142231362931	0.786722646701
HC310_HC95	6.75955125533	6.92098931717e-12	0.0585695060864	0.422607178124	0.00712361191201	0.015005334158	313979	HC310	HC95	hiatus_hernia	inflammatory_bowel_disease	HC	HC	41260.0	3783.0	18390	0.0625200049768	2.10642218349
HC215_HC221	15.3600451153	1.5168172612e-53	0.227599985569	0.42114803134	0.00594516011097	0.00674433189166	328393	HC215	HC221	hypertension	diabetes	HC	HC	107407.0	20440.0	74742	0.0274184110905	1.13442392901
HC156_HC22	6.40366960249	7.58430894512e-11	0.031286355784	0.419929315092	0.0198738464876	0.0141246031296	315641	HC156	HC22	nasal_polyps	osteoporosis	HC	HC	4608.0	9135.0	9875	0.0655763556147	0.7107131042
INI30060_INI30300	31.8041642469	2.83470240959e-222	0.0724934977168	0.417743334	0.00530788166074	0.0097001417138	345575	INI30060	INI30300	mean_corpuscular_haemoglobin_concentration	high_light_scatter_reticulocyte_count	INI	INI	328025.0	322755.0	25052	0.0131348628046	1.82749773522
FH1220_HC96	7.06022704112	8.31153874535e-13	0.0671990505556	0.417557136139	0.00769413600834	0.0209821612611	302252	FH1220	HC96	diabetes	polymyalgia_rheumatica	FH	HC	79177.0	1421.0	20311	0.0591421683336	2.72703279983
HC326_HC38	10.8752661789	7.56068916379e-28	0.00373820435001	0.417135580461	0.0228842755189	0.314357085286	316808	HC326	HC38	heart_attack/myocardial_infarction	psoriasis	HC	HC	12138.0	5074.0	1184	0.0383563559364	13.7368161394
HC259_HC326	6.13510870657	4.25504909624e-10	0.0816340104724	0.41432679895	0.00592686322279	0.00957544504685	303843	HC259	HC326	aortic_stenosis	heart_attack/myocardial_infarction	HC	HC	1593.0	12138.0	24804	0.0675337339184	1.61560081394
HC164_HC243	8.6224949614	3.27554235075e-18	0.067648903122	0.413763840521	0.00597290934776	0.0107824249254	325427	HC164	HC243	gastro-oesophageal_reflux_(gord)_/_gastric_reflux	inguinal_hernia	HC	HC	30231.0	14042.0	22015	0.0479865563707	1.80522159263
